id,data_id,klient_id,trener_id,zajecie_id,sala_id,ocena_zajec,czas_trwania,liczba_uczestnikow,data_zajec
191,4723,136,5,19,67,1.6,60,28,2025-05-09 09:57:00
192,4956,200,7,20,70,1.7,90,11,2025-03-03 11:43:00
193,4627,62,3,10,66,2.5,90,5,2025-02-13 11:40:00
194,4902,197,9,16,62,3.6,90,26,2025-05-11 13:40:00
195,4762,161,16,22,66,4.8,45,5,2024-09-03 11:54:00
196,5071,159,10,10,65,3.7,120,6,2025-03-05 12:16:00
197,4466,97,8,21,62,3.9,90,26,2024-03-01 13:27:00
198,5013,116,16,11,64,3.5,45,15,2024-09-06 18:18:00
199,4893,42,6,17,67,2.6,45,10,2024-11-19 20:03:00
200,4846,11,6,17,62,1.4,120,22,2025-02-17 10:16:00
201,4416,24,2,20,61,3.1,45,13,2024-09-20 09:40:00
202,4886,126,5,10,69,3.0,120,30,2025-01-06 06:14:00
203,5102,189,4,12,62,4.7,45,25,2025-03-26 12:53:00
204,4865,184,2,24,67,2.5,60,7,2025-05-15 18:13:00
205,4712,158,13,13,65,3.5,120,17,2025-11-24 13:38:00
206,4696,155,11,24,66,4.6,45,25,2025-10-24 09:25:00
207,4587,49,10,14,62,2.8,90,25,2024-08-29 14:27:00
208,5027,98,12,13,69,2.1,120,7,2024-02-07 12:55:00
209,5046,53,19,12,63,3.1,45,5,2025-12-12 13:55:00
210,4564,151,5,18,69,4.7,120,28,2024-08-18 12:50:00
211,5088,75,10,16,66,1.6,90,7,2024-11-17 15:52:00
212,4746,158,9,12,64,4.6,60,21,2024-05-21 19:46:00
213,5095,55,16,21,70,4.3,90,9,2025-02-17 12:47:00
214,4724,166,15,21,61,3.0,60,29,2025-09-14 14:57:00
215,4753,99,18,23,66,1.5,60,18,2024-03-22 09:33:00
216,4593,111,19,24,63,1.8,90,16,2024-05-08 21:24:00
217,4863,119,5,22,68,3.1,90,13,2024-01-23 13:38:00
218,4671,178,9,16,64,1.1,45,25,2024-05-05 12:55:00
219,4959,101,20,23,67,3.5,120,12,2025-01-16 22:08:00
220,5009,94,10,13,68,1.5,120,23,2024-07-15 11:27:00
221,5072,128,18,12,69,1.5,45,29,2025-12-26 06:31:00
222,4746,138,2,19,62,3.2,45,6,2024-10-03 14:15:00
223,4431,36,15,20,70,3.9,45,19,2025-06-26 14:22:00
224,4638,109,16,14,65,4.7,120,24,2025-10-07 11:16:00
225,4832,120,19,21,65,2.6,90,30,2025-08-30 07:52:00
226,4831,57,18,15,66,1.9,45,14,2025-09-29 21:35:00
227,4386,115,5,18,67,4.4,120,26,2024-12-29 06:28:00
228,4875,42,3,18,63,4.0,120,28,2025-01-07 10:21:00
229,4521,50,3,20,66,2.9,90,15,2026-01-15 06:42:00
230,4756,64,14,23,64,1.0,90,15,2025-03-04 14:19:00
231,4773,62,20,22,67,3.1,45,25,2024-12-29 21:18:00
232,5039,136,9,12,68,1.0,45,14,2025-02-09 18:04:00
233,4689,91,9,18,62,3.8,120,25,2024-07-18 13:10:00
234,4510,101,7,14,63,3.2,120,9,2024-06-17 14:36:00
235,4443,92,5,11,66,3.1,90,20,2025-11-12 12:16:00
236,4773,10,17,11,63,1.1,60,13,2024-08-15 20:39:00
237,5011,28,1,19,62,2.1,120,6,2024-02-17 16:40:00
238,5022,64,7,13,66,3.0,60,13,2024-11-27 17:38:00
239,4488,67,9,22,61,3.0,45,18,2025-03-08 14:40:00
240,4754,179,11,11,68,1.8,45,9,2024-08-07 13:35:00
241,4498,59,7,13,68,2.0,90,23,2024-10-19 11:19:00
242,4903,54,7,15,62,1.0,90,27,2025-12-12 19:08:00
243,4930,145,13,10,68,4.3,45,21,2025-08-26 17:22:00
244,4903,165,19,12,63,2.4,60,6,2025-02-12 10:08:00
245,4564,50,13,21,63,1.7,120,22,2024-09-06 10:39:00
246,4973,193,3,23,62,4.4,120,21,2025-08-24 09:34:00
247,4472,79,12,13,61,3.9,90,5,2024-10-30 20:42:00
248,4649,177,5,14,61,3.6,120,14,2024-05-25 19:58:00
249,4603,72,13,11,69,1.6,120,13,2025-09-26 14:29:00
250,4946,108,2,22,66,3.9,45,22,2025-06-19 12:23:00
251,4748,60,2,20,64,4.9,90,7,2025-03-15 18:21:00
252,4467,158,14,19,64,2.3,45,6,2025-06-25 22:48:00
253,4616,185,15,13,66,1.9,90,24,2025-01-27 20:54:00
254,4422,45,18,16,62,1.2,60,13,2026-01-11 14:31:00
255,4917,159,7,23,69,3.1,90,6,2024-12-30 17:09:00
256,4773,102,8,12,70,3.2,45,20,2024-11-29 13:05:00
257,4755,113,5,22,61,4.1,120,21,2024-08-04 20:40:00
258,5064,56,13,10,61,2.4,90,13,2025-10-25 06:20:00
259,4598,128,11,23,61,1.5,90,30,2025-09-26 22:20:00
260,4984,181,1,11,64,3.5,60,10,2024-11-13 21:55:00
261,4527,168,3,11,61,4.7,60,10,2025-10-18 15:20:00
262,5066,179,16,24,61,2.4,60,6,2025-08-10 14:55:00
263,4548,49,6,21,68,4.7,120,30,2024-05-06 19:15:00
264,4475,179,12,15,65,2.4,60,11,2025-01-07 10:16:00
265,4405,139,12,18,70,3.9,45,21,2025-03-30 22:51:00
266,4620,156,14,24,62,2.5,90,23,2024-05-31 21:26:00
267,4465,57,19,11,64,3.9,45,23,2025-06-24 13:54:00
268,5017,178,13,18,67,1.6,45,30,2024-08-29 18:16:00
269,4871,19,17,17,64,3.0,90,28,2025-10-08 11:18:00
270,4530,10,17,14,68,1.7,45,6,2024-02-13 13:06:00
271,5084,56,2,23,64,1.7,45,29,2025-03-03 07:02:00
272,4776,2,16,19,67,1.6,90,19,2024-05-21 11:45:00
273,4659,123,7,16,70,3.5,90,28,2025-12-06 12:53:00
274,4631,118,2,11,67,3.7,90,7,2024-09-27 09:22:00
275,4648,190,8,13,67,4.2,60,14,2024-09-20 07:33:00
276,4665,110,10,18,70,4.1,45,11,2024-11-15 18:20:00
277,5091,133,4,11,69,2.0,120,9,2024-04-06 13:29:00
278,5068,51,13,15,63,3.2,60,24,2025-08-17 11:30:00
279,5034,172,3,13,67,4.2,60,25,2025-11-12 15:01:00
280,4911,139,1,22,62,4.8,45,17,2024-02-16 20:22:00
281,4412,143,12,20,63,4.1,60,13,2025-05-13 14:33:00
282,5001,76,1,23,70,3.9,120,20,2025-05-11 19:36:00
283,4788,152,9,16,69,4.0,45,20,2025-07-19 21:33:00
284,5063,45,9,23,70,4.7,45,10,2025-11-16 15:14:00
285,4637,79,8,20,63,1.3,120,23,2024-02-09 11:59:00
286,4640,82,11,24,61,4.8,90,6,2025-07-12 06:12:00
287,4760,163,16,10,68,3.3,120,9,2026-01-05 18:09:00
288,4750,6,10,15,62,3.9,45,5,2025-02-26 06:00:00
289,4523,121,17,18,65,3.8,90,16,2025-05-15 14:01:00
290,4547,164,16,23,67,2.3,45,27,2024-11-10 19:43:00
291,4899,77,13,14,70,2.3,90,7,2025-08-12 21:32:00
292,4649,160,16,21,69,2.4,90,15,2025-10-09 15:15:00
293,4680,79,5,10,62,4.4,120,19,2024-03-19 12:39:00
294,5028,38,12,18,66,1.8,60,27,2025-01-16 22:47:00
295,4432,5,5,22,63,2.9,120,14,2025-10-30 18:39:00
296,5005,172,3,16,65,3.9,90,29,2024-04-01 19:15:00
297,4950,177,7,10,65,1.4,90,9,2024-08-05 20:06:00
298,5019,188,1,18,61,3.4,90,20,2024-09-20 19:53:00
299,4841,138,16,14,63,3.8,120,26,2024-06-13 10:56:00
300,4897,138,14,17,66,1.2,90,6,2025-12-16 18:26:00
301,5089,152,10,22,61,4.8,45,26,2025-09-08 18:51:00
302,4752,140,15,20,69,3.0,45,27,2025-07-15 08:40:00
303,4813,57,1,16,63,3.5,90,13,2025-02-25 18:17:00
304,4827,82,6,17,67,4.0,90,10,2024-02-28 06:53:00
305,4878,84,19,17,65,4.0,90,5,2025-02-06 09:56:00
306,4718,198,4,17,68,3.5,45,13,2025-06-15 07:48:00
307,4988,113,3,21,65,3.6,60,15,2024-04-27 22:47:00
308,4757,97,18,20,64,3.2,120,23,2024-08-09 12:24:00
309,4650,31,17,19,66,2.8,60,18,2025-03-27 09:17:00
310,4655,79,18,24,66,4.1,120,22,2024-04-03 15:56:00
311,4486,130,2,11,68,1.9,120,19,2024-04-25 07:38:00
312,5032,187,6,15,66,2.8,60,18,2024-06-03 19:06:00
313,4824,95,1,10,70,2.8,90,8,2024-08-09 08:57:00
314,4787,87,10,20,64,3.9,60,6,2025-07-03 06:05:00
315,4866,118,19,18,69,2.0,45,25,2024-12-17 12:36:00
316,4969,154,18,17,70,2.6,60,9,2024-12-20 06:07:00
317,4408,9,9,14,64,1.6,60,13,2026-01-08 18:15:00
318,4931,15,10,18,68,2.6,90,23,2024-09-10 08:40:00
319,4930,155,17,18,62,3.4,120,22,2025-08-03 21:38:00
320,4674,18,15,11,63,1.4,60,27,2024-07-02 22:48:00
321,4458,163,13,20,65,3.7,60,20,2026-01-14 21:48:00
322,4509,186,14,15,65,2.4,120,15,2024-08-13 22:14:00
323,4540,103,13,18,63,4.6,60,19,2024-05-22 14:52:00
324,4852,74,19,24,70,3.3,120,14,2025-09-30 17:32:00
325,4943,40,16,24,67,1.3,45,10,2025-05-06 19:35:00
326,4961,199,1,21,67,2.7,90,14,2025-08-31 11:38:00
327,4488,124,14,19,69,4.8,60,28,2025-08-19 10:10:00
328,4473,17,11,10,67,2.5,120,14,2025-04-27 12:25:00
329,5092,55,16,13,70,3.4,90,24,2025-04-21 12:47:00
330,4749,45,2,12,67,2.5,120,28,2024-11-24 20:21:00
331,4889,9,16,24,62,2.3,45,10,2025-12-10 09:05:00
332,4794,36,20,21,70,1.7,60,20,2025-01-16 14:32:00
333,4733,77,18,23,69,1.7,120,30,2025-09-15 17:21:00
334,5107,195,15,16,70,4.5,60,27,2025-02-18 07:01:00
335,5047,32,3,20,63,4.1,120,26,2026-01-07 13:05:00
336,4958,117,20,11,67,2.3,60,23,2025-09-24 13:50:00
337,4810,64,13,16,67,4.2,60,22,2025-02-17 22:36:00
338,4849,48,2,14,64,2.6,90,11,2025-02-22 08:59:00
339,5051,4,20,16,70,3.0,120,15,2025-08-30 20:14:00
340,4560,200,18,14,61,5.0,45,8,2025-03-11 22:17:00
341,5035,137,12,19,68,1.2,120,24,2025-12-08 08:30:00
342,4980,66,13,17,64,3.5,60,19,2025-04-08 16:39:00
343,4999,104,14,12,66,1.5,90,7,2025-09-25 17:51:00
344,4571,179,9,22,61,2.9,45,20,2025-11-23 19:39:00
345,4624,167,11,11,67,3.7,120,22,2025-12-06 09:36:00
346,4789,65,12,17,68,2.7,120,26,2025-03-17 19:12:00
347,4461,114,4,11,65,3.0,60,20,2025-02-15 09:15:00
348,4486,170,12,20,70,3.0,45,11,2024-08-31 18:29:00
349,4861,112,17,15,64,2.6,45,9,2025-05-25 08:31:00
350,4530,104,1,12,66,1.8,45,17,2025-12-13 21:46:00
351,4533,89,9,20,62,3.5,60,27,2026-01-11 17:06:00
352,4839,133,7,17,64,1.1,120,19,2025-04-24 07:21:00
353,4412,40,12,18,66,3.2,90,21,2024-06-21 09:57:00
354,4964,174,16,23,70,1.6,60,29,2024-06-28 21:54:00
355,4950,67,19,10,64,4.6,120,8,2024-06-15 22:18:00
356,4698,181,3,15,68,2.6,60,20,2025-08-07 09:40:00
357,4759,106,3,16,63,3.2,45,23,2025-02-20 08:51:00
358,4847,168,18,24,68,1.2,120,28,2026-01-14 15:26:00
359,4768,9,14,24,64,1.5,90,28,2024-02-05 15:12:00
360,5058,80,19,18,61,3.2,45,27,2024-04-29 13:36:00
361,4407,132,9,17,62,3.0,60,11,2025-08-30 12:21:00
362,4404,196,10,16,69,4.2,45,6,2024-01-18 18:29:00
363,4427,93,14,10,63,4.4,45,15,2025-10-23 08:19:00
364,4620,119,6,16,63,2.9,45,20,2025-11-19 06:33:00
365,4448,84,10,14,63,2.6,120,13,2024-07-16 16:30:00
366,4945,169,2,12,66,2.1,90,22,2025-01-13 11:25:00
367,4745,100,18,14,70,2.5,45,17,2025-06-16 10:45:00
368,4508,55,15,12,70,4.4,60,13,2025-05-08 11:17:00
369,4809,106,12,13,66,1.9,60,30,2025-10-13 08:03:00
370,4878,25,6,17,64,4.2,60,7,2024-07-25 19:56:00
371,4702,188,12,18,64,1.8,120,18,2025-10-22 20:31:00
372,4585,6,20,11,63,1.7,60,13,2024-06-12 11:45:00
373,4888,36,8,15,65,2.8,120,17,2024-09-24 11:25:00
374,4907,9,19,18,64,1.3,90,13,2025-01-22 12:12:00
375,4730,33,7,24,63,2.9,120,9,2025-09-15 17:20:00
376,4765,197,7,20,64,2.7,120,6,2025-10-31 22:02:00
377,4754,138,8,11,63,1.2,60,7,2024-04-26 07:36:00
378,4849,170,12,16,67,4.0,60,18,2024-06-10 06:04:00
379,4977,123,8,15,70,4.8,90,10,2024-07-21 20:26:00
380,5060,101,14,12,61,5.0,45,5,2024-07-24 17:25:00
381,4467,70,7,16,64,2.3,60,15,2025-12-08 14:20:00
382,4555,56,7,16,67,1.7,45,13,2025-08-20 20:43:00
383,4443,122,14,20,63,1.8,45,15,2024-12-28 07:41:00
384,4764,197,1,22,67,1.1,120,16,2025-05-12 11:14:00
385,5047,72,1,12,70,2.4,45,10,2024-04-30 18:43:00
386,4945,162,15,20,67,4.8,120,11,2025-10-02 06:11:00
387,4716,58,15,10,66,2.3,60,18,2025-07-06 09:43:00
388,4921,144,2,16,61,5.0,60,23,2025-12-12 15:16:00
389,4404,79,7,15,63,2.6,45,13,2025-01-28 07:50:00
390,4684,32,8,17,63,4.2,90,22,2025-08-11 19:24:00
391,4466,85,5,24,66,4.9,45,22,2024-09-17 18:27:00
392,4531,3,12,18,64,3.2,90,6,2024-10-12 18:14:00
393,4687,159,13,24,64,4.6,120,6,2025-11-16 09:51:00
394,5066,181,3,18,70,1.1,45,21,2024-11-01 20:36:00
395,5051,5,8,13,67,5.0,60,15,2025-03-16 21:44:00
396,4660,94,4,10,70,3.2,45,8,2024-04-21 18:36:00
397,4510,4,8,22,68,4.1,45,10,2025-05-30 11:24:00
398,4557,137,11,12,61,4.4,120,6,2024-11-10 21:14:00
399,5101,27,9,22,61,1.8,120,18,2025-06-04 19:33:00
400,4482,180,7,22,68,1.1,120,18,2025-12-30 13:55:00
401,5078,143,16,15,69,1.2,45,9,2024-09-02 22:05:00
402,4947,101,9,18,62,3.7,60,30,2024-09-09 21:36:00
403,4440,23,4,14,70,3.3,60,30,2025-04-04 18:50:00
404,5031,20,9,22,65,3.2,90,9,2025-07-31 08:15:00
405,4591,136,2,15,68,4.1,120,30,2025-01-17 13:07:00
406,4597,89,19,16,62,1.9,120,26,2025-06-24 06:13:00
407,5025,191,18,20,66,2.6,120,30,2025-08-31 06:22:00
408,5017,67,14,15,64,4.7,90,28,2025-03-11 09:29:00
