id,klient_id,data_id,sala_id,czas_pobytu_min,data_wejscia
94,161,4480,62,52,2024-12-28 18:35:00
95,7,4467,65,92,2025-12-26 12:52:00
96,77,5030,63,42,2025-08-01 21:01:00
97,45,4851,63,171,2024-07-14 22:57:00
98,181,4984,61,73,2024-04-29 11:46:00
99,83,4982,69,92,2024-03-14 07:01:00
100,117,4922,62,161,2024-04-07 07:13:00
101,157,5101,67,157,2025-06-18 07:24:00
102,135,4745,61,31,2024-11-05 07:03:00
103,142,5073,64,44,2025-07-07 07:46:00
104,194,4756,66,168,2024-10-07 12:13:00
105,199,5046,70,138,2025-10-24 19:40:00
106,165,4557,62,86,2024-01-26 19:25:00
107,116,4816,68,108,2024-09-30 19:14:00
108,140,4745,65,71,2024-10-10 13:20:00
109,21,5081,68,98,2025-05-16 16:55:00
110,95,4492,65,106,2024-05-08 14:18:00
111,44,4623,68,63,2024-11-22 16:09:00
112,51,4937,68,137,2025-08-02 10:49:00
113,147,4861,69,103,2024-09-24 10:01:00
114,13,4591,65,75,2024-07-23 16:55:00
115,73,4815,68,95,2024-07-22 07:19:00
116,135,4494,67,53,2024-02-12 18:29:00
117,60,5056,64,99,2025-01-25 16:28:00
118,41,4683,64,166,2025-04-05 19:09:00
119,167,4549,68,65,2024-08-13 16:58:00
120,173,4845,64,127,2024-04-11 11:14:00
121,173,4619,64,169,2025-06-24 18:01:00
122,37,4525,69,162,2025-01-24 10:38:00
123,192,4562,70,42,2024-10-10 19:20:00
124,187,4825,63,99,2024-09-02 15:51:00
125,37,5038,65,43,2024-06-11 11:20:00
126,154,4881,69,170,2025-06-19 12:04:00
127,106,4935,67,170,2025-08-24 13:44:00
128,12,4961,65,109,2025-07-02 06:04:00
129,63,4713,70,61,2024-05-13 18:26:00
130,89,4913,61,156,2025-01-19 13:53:00
131,193,4817,65,120,2025-04-17 16:00:00
132,167,4898,67,58,2025-04-16 12:33:00
133,145,4931,67,110,2025-02-06 06:25:00
134,73,4689,62,43,2025-01-10 21:58:00
135,176,4874,66,35,2025-03-20 19:00:00
136,167,4394,61,38,2024-03-27 10:06:00
137,146,4724,68,83,2025-12-21 10:00:00
138,83,4451,66,172,2025-07-14 06:08:00
139,163,4598,61,168,2024-07-05 20:43:00
140,63,4672,66,96,2024-05-29 21:11:00
141,178,4984,64,165,2025-02-25 11:46:00
142,182,4500,62,46,2024-03-13 15:34:00
143,70,4917,65,125,2025-11-07 16:54:00
144,198,5059,66,103,2025-11-07 08:11:00
145,185,4914,64,138,2025-08-09 21:15:00
146,133,4492,63,76,2024-04-18 06:47:00
147,66,4551,67,65,2025-11-23 08:41:00
148,95,4584,68,121,2024-05-19 18:41:00
149,30,5075,67,102,2025-01-16 13:40:00
150,16,4392,69,55,2024-04-12 18:17:00
151,150,4819,61,51,2024-06-18 15:53:00
152,117,4994,68,54,2024-06-13 22:58:00
153,33,4980,64,55,2025-09-12 07:56:00
154,12,4481,67,168,2024-05-06 14:10:00
155,129,4721,69,177,2025-11-02 19:35:00
156,165,5067,69,96,2024-08-25 17:50:00
157,52,5025,65,61,2025-11-03 21:02:00
158,195,4749,63,76,2024-02-15 12:02:00
159,148,4712,64,99,2025-03-08 16:02:00
160,145,4895,68,51,2024-05-10 17:33:00
161,32,4610,62,75,2025-07-24 10:01:00
162,156,4505,70,87,2025-06-25 10:54:00
163,25,4579,62,106,2025-11-27 14:58:00
164,193,5096,70,72,2024-09-21 19:59:00
165,160,4922,67,89,2025-08-26 08:50:00
166,23,4696,68,57,2024-10-18 08:38:00
167,156,4731,67,70,2024-05-16 21:02:00
168,166,4611,67,157,2024-03-27 06:57:00
169,135,4752,67,61,2025-07-29 07:33:00
170,46,4675,68,125,2025-03-27 17:43:00
171,91,4482,68,116,2026-01-17 19:15:00
172,38,4799,69,35,2024-07-02 07:26:00
173,189,4930,62,36,2025-10-08 07:24:00
174,35,4647,61,150,2025-07-08 10:40:00
175,94,4775,61,159,2024-06-08 14:34:00
176,133,4839,63,180,2025-07-06 16:00:00
177,16,4711,62,84,2025-01-15 11:41:00
178,80,4729,62,41,2025-04-09 16:57:00
179,129,4820,68,72,2025-12-04 19:16:00
180,67,4860,70,83,2024-03-19 06:31:00
181,11,4818,62,112,2025-06-15 10:52:00
182,180,4511,62,30,2025-05-19 10:01:00
183,9,4908,65,138,2025-12-12 13:31:00
184,182,4731,64,146,2024-09-21 21:04:00
185,178,4609,68,124,2025-07-24 20:19:00
186,28,4702,65,165,2024-04-10 18:52:00
187,149,5051,67,156,2024-02-24 20:15:00
188,197,4552,63,159,2024-12-13 11:35:00
189,130,4647,66,41,2024-01-22 07:02:00
190,26,4423,65,179,2024-03-15 09:21:00
191,91,4501,63,44,2025-05-09 13:39:00
192,64,4635,65,61,2024-05-09 06:24:00
193,129,4945,64,145,2025-07-22 13:56:00
194,52,4790,61,104,2025-09-10 18:01:00
195,35,5108,64,102,2024-08-27 21:48:00
196,55,4385,62,94,2025-04-29 09:19:00
197,106,4917,65,145,2025-09-11 15:32:00
198,140,4593,66,154,2025-03-01 08:01:00
199,159,4666,65,78,2025-01-28 18:27:00
200,115,4530,69,30,2025-03-16 11:57:00
201,180,4860,69,129,2025-12-06 07:56:00
202,12,4550,69,101,2025-11-24 06:21:00
203,109,4876,68,98,2024-07-17 18:26:00
204,93,4676,69,89,2024-11-08 16:26:00
205,148,4560,63,35,2025-01-13 07:11:00
206,2,5101,67,159,2024-07-20 19:02:00
207,73,4870,70,32,2024-07-21 17:40:00
208,4,4619,62,117,2024-04-05 17:35:00
209,59,4958,69,34,2024-10-10 06:22:00
210,55,4512,63,30,2025-06-05 22:58:00
211,172,5063,67,31,2025-01-06 06:16:00
212,180,4957,65,168,2024-12-02 10:43:00
213,77,4653,62,78,2026-01-17 07:28:00
214,51,5088,65,140,2024-04-27 09:53:00
215,130,4939,69,135,2024-08-01 16:03:00
216,44,4941,61,37,2024-07-08 20:19:00
217,57,5016,64,58,2025-07-13 11:01:00
218,35,4510,61,164,2025-01-26 14:01:00
219,110,4611,70,102,2024-12-26 07:33:00
220,57,4837,69,166,2026-01-10 10:12:00
221,169,4472,68,98,2024-03-18 22:08:00
222,11,4781,70,76,2024-03-01 07:24:00
223,182,5090,66,147,2025-11-14 21:43:00
224,149,4521,65,170,2025-04-04 21:32:00
225,191,4646,63,93,2024-12-30 07:03:00
226,127,4458,63,92,2025-11-15 08:31:00
227,11,4883,70,130,2024-08-19 15:14:00
228,142,4597,67,48,2025-06-20 17:08:00
229,10,4903,64,44,2024-05-27 14:42:00
230,138,4995,62,161,2024-06-08 21:30:00
231,111,4963,68,141,2024-09-14 22:41:00
232,188,4949,63,48,2024-11-01 18:39:00
233,144,4437,64,32,2025-12-04 18:36:00
234,186,4394,67,76,2025-01-12 21:57:00
235,2,4775,66,111,2024-05-15 21:57:00
236,77,4773,61,154,2024-10-18 08:34:00
237,43,4856,66,84,2024-10-02 12:48:00
238,194,4938,69,71,2025-03-19 06:26:00
239,98,4882,68,41,2025-01-14 08:01:00
240,173,4510,62,91,2024-05-21 08:10:00
241,70,4977,64,125,2024-09-02 13:41:00
242,23,4580,65,110,2025-03-09 10:16:00
243,74,5056,65,157,2025-11-09 16:53:00
244,86,5058,67,52,2025-05-18 17:46:00
245,140,4507,61,57,2025-04-24 20:49:00
246,22,4904,65,82,2025-04-20 15:49:00
247,85,4533,66,136,2025-07-12 17:30:00
248,29,4733,70,85,2025-07-02 15:33:00
249,97,4810,63,42,2024-12-27 18:00:00
250,86,4581,63,118,2024-04-26 14:48:00
251,97,4699,66,131,2024-07-21 11:35:00
252,93,4937,70,90,2025-10-25 06:30:00
253,77,4858,64,109,2024-04-07 15:37:00
254,184,4438,67,160,2024-07-14 16:13:00
255,151,4773,65,164,2024-06-04 17:37:00
256,164,4649,62,84,2025-08-10 19:22:00
257,54,4521,68,90,2025-12-26 07:59:00
258,119,4754,66,179,2024-04-08 21:46:00
259,195,4887,69,117,2025-07-27 09:05:00
260,169,4573,62,95,2024-06-30 15:39:00
261,153,4528,62,128,2025-04-16 20:35:00
262,107,4717,66,93,2024-10-16 21:29:00
263,143,4954,61,80,2024-02-01 11:58:00
264,136,4757,67,83,2024-09-29 12:54:00
265,199,4781,66,51,2025-06-11 10:25:00
266,152,4658,61,115,2025-03-15 21:11:00
267,121,4528,63,101,2025-10-13 22:29:00
268,21,4433,64,114,2024-11-02 10:04:00
269,147,4801,64,108,2025-02-12 19:41:00
270,10,5059,64,160,2024-06-21 06:28:00
271,153,4534,70,93,2024-12-14 11:14:00
272,6,4838,69,35,2025-08-19 06:52:00
273,159,5046,69,105,2025-09-27 16:24:00
274,43,4716,64,115,2025-10-08 16:55:00
275,152,5036,67,177,2025-05-19 20:34:00
276,59,4557,63,67,2025-06-12 17:26:00
277,142,4731,62,118,2024-11-13 20:05:00
278,170,4704,64,96,2024-08-07 07:33:00
279,133,4907,68,89,2025-12-04 21:50:00
280,54,4980,66,124,2024-02-15 14:53:00
281,56,4581,63,176,2025-07-01 12:53:00
282,93,4865,69,66,2025-09-15 19:20:00
283,156,5003,70,151,2024-11-25 09:19:00
284,179,4579,61,45,2024-12-29 14:25:00
285,168,4791,66,75,2024-09-23 11:04:00
286,23,4633,64,129,2024-07-04 16:50:00
287,28,4715,61,91,2024-03-07 08:29:00
288,131,4708,63,166,2025-02-08 18:19:00
289,7,4710,65,31,2025-09-26 14:08:00
290,175,4643,64,126,2025-09-07 08:04:00
291,114,4521,61,103,2025-09-04 20:41:00
292,29,4970,66,64,2024-06-15 10:23:00
293,48,5017,70,143,2024-10-25 06:01:00
294,145,4779,70,136,2024-05-02 18:19:00
295,72,4410,65,135,2025-11-08 09:06:00
296,33,5099,69,112,2024-05-21 16:59:00
297,18,4904,62,87,2025-11-24 20:52:00
298,10,4695,64,94,2024-07-07 21:23:00
299,26,4547,63,143,2025-09-06 10:17:00
300,75,4529,64,173,2025-01-30 16:01:00
301,66,4935,61,56,2024-08-15 12:14:00
302,65,4794,66,152,2025-07-16 17:31:00
303,140,4956,62,92,2025-12-04 15:13:00
304,197,5046,66,96,2024-07-27 18:29:00
305,123,5020,68,116,2024-04-21 16:51:00
306,186,4585,62,111,2025-03-12 06:07:00
307,8,4845,61,75,2024-01-28 21:11:00
308,160,4703,66,44,2024-05-04 13:21:00
309,152,4906,63,145,2024-03-03 19:36:00
310,148,4784,66,143,2025-09-08 15:34:00
311,4,4831,62,102,2025-01-06 15:55:00
312,9,4687,69,94,2025-05-21 15:55:00
313,35,4744,66,162,2024-05-11 20:43:00
314,96,4437,64,81,2024-08-07 09:35:00
315,114,4945,67,177,2024-05-27 16:08:00
316,155,4728,68,161,2025-06-26 17:33:00
317,21,5064,68,77,2025-01-02 17:06:00
318,199,4762,70,88,2024-09-16 16:05:00
319,9,5015,61,63,2025-05-26 16:38:00
320,59,4636,68,132,2025-10-15 22:44:00
321,162,4891,70,86,2024-09-19 10:04:00
322,64,4660,62,118,2024-08-30 11:49:00
323,41,4576,64,170,2025-09-16 18:34:00
324,139,4737,67,151,2024-10-10 21:10:00
325,128,4939,66,88,2025-12-28 17:33:00
326,85,4844,63,93,2024-04-12 15:29:00
327,97,5013,66,162,2024-12-19 06:46:00
328,69,4381,68,161,2025-09-08 11:31:00
329,34,4550,65,100,2025-01-25 10:29:00
330,187,4853,65,59,2024-08-07 06:56:00
331,132,4644,62,72,2024-09-30 07:45:00
332,49,4748,67,117,2025-09-12 13:10:00
333,32,4715,64,127,2026-01-04 14:21:00
334,6,4828,66,172,2025-11-26 10:52:00
335,63,4799,68,146,2025-08-03 15:20:00
336,191,4844,68,44,2024-08-11 15:36:00
337,18,4711,63,130,2024-02-06 12:08:00
338,83,4650,65,66,2025-02-09 11:31:00
339,82,4926,66,50,2024-12-03 06:25:00
340,132,4725,68,125,2025-11-27 17:49:00
341,4,5082,64,44,2025-10-12 07:46:00
342,177,4490,63,34,2024-12-23 17:26:00
343,109,5029,62,159,2025-03-31 11:08:00
344,176,4570,67,111,2025-06-29 11:30:00
345,56,5002,67,176,2025-06-18 06:39:00
346,10,4877,68,77,2024-10-17 19:12:00
347,3,4820,61,92,2025-11-30 19:37:00
348,63,4673,61,174,2025-08-31 19:55:00
349,172,5013,67,42,2024-09-09 16:51:00
350,162,4740,61,86,2025-06-26 16:16:00
351,128,5096,69,108,2025-07-31 08:10:00
352,164,4821,65,176,2025-02-05 10:41:00
353,77,4605,61,168,2025-06-01 11:59:00
354,3,4500,67,80,2024-07-28 11:12:00
355,142,4810,66,131,2025-01-22 06:29:00
356,66,5066,61,37,2024-08-11 11:49:00
357,2,4702,68,85,2024-09-16 09:58:00
358,7,4434,61,119,2024-02-15 20:15:00
359,47,4951,62,60,2025-01-03 14:08:00
360,166,4788,67,47,2024-08-10 15:27:00
361,142,4582,70,170,2025-12-02 22:13:00
362,108,4885,63,54,2025-05-04 10:04:00
363,12,5023,62,132,2025-10-25 09:43:00
364,148,4908,67,143,2025-04-11 07:08:00
365,136,4534,67,38,2024-10-27 21:40:00
366,78,4407,69,91,2024-03-08 10:48:00
367,27,4570,65,47,2025-08-26 18:08:00
368,102,4987,70,34,2024-08-26 20:35:00
369,16,5005,69,177,2024-09-05 19:11:00
370,36,4964,67,180,2025-07-04 07:30:00
371,93,4720,70,140,2025-12-23 16:43:00
372,132,5022,67,169,2024-04-05 19:56:00
373,148,4431,68,98,2025-05-22 08:57:00
374,183,4687,67,57,2024-09-23 07:01:00
375,79,5081,69,121,2024-12-29 10:05:00
376,6,4778,70,92,2024-09-02 21:21:00
377,19,4641,66,159,2024-05-14 21:02:00
378,121,5085,66,177,2024-04-10 16:16:00
379,19,4689,67,96,2024-02-09 18:24:00
380,39,5041,66,113,2024-06-02 06:21:00
381,25,4551,63,66,2025-02-02 18:36:00
382,161,5029,65,34,2025-11-08 12:13:00
383,181,4433,68,73,2025-07-20 06:08:00
384,114,4432,67,51,2024-02-14 19:59:00
385,162,4603,64,122,2025-11-27 16:58:00
386,47,4664,68,69,2024-11-10 14:18:00
387,167,4853,68,100,2025-04-13 09:12:00
388,115,4855,69,83,2025-09-10 06:52:00
389,32,4745,70,144,2024-08-20 12:22:00
390,71,4649,64,103,2025-11-20 17:01:00
391,183,4991,66,161,2025-03-08 12:29:00
392,73,4677,65,56,2024-08-20 16:11:00
393,128,4940,66,93,2025-12-14 08:55:00
394,24,4562,63,144,2024-01-27 08:33:00
395,23,4891,62,83,2025-04-01 21:55:00
396,97,4382,69,121,2025-04-02 15:55:00
397,163,4879,64,151,2025-06-06 16:10:00
398,16,4610,70,43,2025-07-23 18:28:00
399,138,4661,69,96,2024-09-22 16:05:00
400,143,4886,70,149,2024-02-29 11:17:00
401,77,4991,62,146,2024-03-10 06:39:00
402,43,4752,65,114,2025-02-21 18:29:00
403,165,4960,65,152,2025-12-09 22:23:00
404,95,4382,63,43,2025-12-25 17:37:00
405,120,4802,65,158,2024-08-16 21:11:00
406,61,4599,61,160,2024-03-09 21:39:00
407,36,4757,70,168,2024-03-31 09:32:00
408,23,4453,67,93,2024-04-22 10:08:00
409,174,4533,70,56,2024-08-19 06:11:00
410,65,4386,69,106,2025-05-01 18:07:00
411,129,4923,62,74,2025-06-01 06:59:00
412,142,5065,61,45,2025-10-04 21:09:00
413,91,5022,69,161,2024-04-25 14:12:00
414,114,4611,66,175,2025-02-01 11:49:00
415,33,4545,69,114,2024-01-22 12:08:00
416,25,4938,62,68,2024-02-05 21:17:00
417,74,4559,70,85,2024-11-13 11:16:00
418,193,4783,62,162,2025-09-28 06:35:00
419,200,4385,70,33,2024-10-29 18:36:00
420,36,4944,64,151,2025-03-07 10:48:00
421,76,4866,62,43,2024-03-20 11:36:00
422,128,4403,69,134,2024-04-11 11:43:00
423,18,4516,69,131,2025-09-28 18:25:00
424,9,4612,70,47,2025-12-18 16:32:00
425,124,4705,68,69,2025-09-17 10:30:00
426,131,4458,61,82,2024-03-27 21:03:00
427,12,4658,64,149,2024-01-23 11:07:00
428,33,5059,62,66,2025-02-26 18:46:00
429,89,4878,61,77,2025-10-15 21:51:00
430,173,4545,67,146,2025-08-21 08:16:00
431,30,4867,67,59,2024-09-23 15:19:00
432,102,5032,63,32,2024-02-24 20:43:00
433,50,4807,67,72,2025-08-07 11:02:00
434,153,4512,70,95,2025-06-13 08:10:00
435,101,4872,64,171,2025-06-30 18:44:00
436,20,4404,63,58,2025-06-16 22:40:00
437,158,4879,64,92,2025-10-22 08:39:00
438,30,5003,65,63,2025-12-24 16:36:00
439,116,4751,67,98,2024-01-28 16:18:00
440,176,4479,70,118,2024-12-12 08:59:00
441,18,4857,63,120,2025-10-01 21:17:00
442,78,4806,64,114,2024-09-20 22:38:00
443,150,4812,62,78,2025-06-15 20:49:00
444,189,4630,62,103,2024-10-11 15:32:00
445,196,5085,67,79,2025-08-20 07:49:00
446,14,4979,65,145,2024-12-09 15:17:00
447,34,4838,61,157,2024-12-13 11:56:00
448,53,4932,64,40,2025-12-01 19:11:00
449,171,4495,62,63,2025-12-27 13:33:00
450,78,4489,61,32,2025-04-30 19:43:00
451,119,4559,70,31,2025-06-11 08:15:00
452,53,4568,70,180,2024-03-11 13:45:00
453,194,4831,61,124,2025-12-31 10:52:00
454,153,5027,68,98,2025-05-31 10:16:00
455,156,4572,64,98,2024-11-15 08:36:00
456,149,5049,67,70,2024-08-28 19:36:00
457,95,4482,65,33,2025-01-31 15:07:00
458,81,4769,64,71,2025-08-05 09:58:00
459,149,5047,67,81,2025-02-05 11:06:00
460,183,4482,64,82,2025-04-03 16:40:00
461,78,4641,68,102,2025-12-21 13:34:00
462,68,4747,67,179,2025-01-31 07:08:00
463,33,4669,63,172,2024-07-06 14:54:00
464,119,4499,68,84,2025-02-09 20:09:00
465,25,4600,64,46,2024-08-28 22:59:00
466,7,4561,70,169,2024-04-10 17:46:00
467,149,4945,68,171,2025-11-13 15:18:00
468,189,4559,68,172,2025-12-04 13:27:00
469,135,4713,66,113,2025-03-31 10:32:00
470,95,4996,69,154,2024-12-22 15:23:00
471,11,4771,64,120,2025-05-13 06:35:00
472,159,5009,70,126,2024-11-04 08:15:00
473,148,4606,67,86,2025-02-19 15:41:00
474,44,4596,62,37,2024-08-02 13:47:00
475,195,4773,66,151,2025-05-09 15:21:00
476,48,4901,67,153,2025-06-13 16:48:00
477,136,4974,70,55,2024-08-24 11:58:00
478,10,4442,63,108,2024-06-14 15:59:00
479,132,4675,65,62,2024-11-06 22:55:00
480,126,4931,68,94,2025-12-30 10:43:00
481,102,4593,69,153,2024-06-24 09:59:00
482,109,4829,65,64,2024-04-27 13:41:00
483,141,4784,67,98,2025-03-03 13:47:00
484,191,4847,64,36,2024-12-25 19:11:00
485,2,4753,70,90,2024-10-23 16:12:00
486,95,5083,66,37,2025-06-26 07:01:00
487,115,4774,63,31,2025-05-20 21:02:00
488,34,4691,69,93,2025-03-23 16:54:00
489,139,4788,64,123,2024-09-08 09:33:00
490,8,4644,70,147,2025-05-31 19:26:00
491,190,4936,61,116,2025-02-23 15:56:00
492,83,4598,64,143,2025-01-25 22:35:00
493,61,4400,67,83,2024-03-01 22:54:00
494,101,4886,67,76,2025-01-17 21:05:00
495,137,4509,61,88,2025-04-09 21:44:00
496,161,4889,63,118,2024-04-24 19:18:00
497,47,4912,65,31,2024-12-05 22:15:00
498,40,4785,62,118,2024-03-22 21:05:00
499,111,4651,62,64,2025-03-30 18:07:00
500,70,4514,70,56,2025-02-06 22:23:00
501,159,4706,66,91,2025-01-11 06:52:00
502,181,4495,65,178,2025-07-30 12:00:00
503,96,4891,67,70,2025-01-27 13:26:00
504,139,4760,67,129,2025-06-05 09:31:00
505,26,4508,68,145,2024-08-26 06:09:00
506,112,4644,62,63,2025-07-01 06:22:00
507,60,4978,67,73,2025-12-11 07:19:00
508,112,4796,70,95,2024-09-17 06:45:00
509,9,4878,65,123,2024-03-17 20:57:00
510,9,5073,70,55,2025-10-23 09:58:00
511,186,4700,70,88,2024-03-08 22:29:00
512,77,5064,62,121,2024-03-12 10:26:00
513,134,5074,66,103,2025-08-15 22:24:00
514,135,4706,68,55,2024-11-06 13:17:00
515,81,4541,63,139,2025-09-11 17:24:00
516,110,5109,69,165,2024-04-17 19:35:00
517,40,4421,65,78,2025-04-25 06:17:00
518,114,4422,61,72,2025-10-15 19:01:00
519,63,4667,64,138,2025-03-18 16:57:00
520,76,4621,63,67,2024-10-22 07:10:00
521,104,4382,70,70,2025-02-04 15:39:00
522,51,4548,68,92,2025-06-28 12:13:00
523,86,4659,67,169,2024-08-08 18:09:00
524,53,5067,61,98,2024-05-23 16:26:00
525,112,5028,69,100,2025-02-08 17:27:00
526,58,5016,70,139,2025-08-19 12:07:00
527,126,5069,62,44,2025-03-03 13:17:00
528,179,5097,67,63,2025-05-10 19:53:00
529,188,4596,64,110,2024-02-08 18:27:00
530,178,4655,70,78,2025-03-04 15:51:00
531,17,4908,68,98,2025-07-28 10:49:00
532,35,4497,65,145,2025-05-01 16:55:00
533,73,4979,69,138,2024-10-23 15:37:00
534,80,4904,65,65,2026-01-17 08:26:00
535,125,4757,65,36,2024-08-02 11:47:00
536,86,4410,67,83,2024-11-28 20:13:00
537,35,4476,63,68,2026-01-16 20:20:00
538,59,4690,67,102,2024-02-09 14:46:00
539,22,4993,61,86,2025-03-30 12:28:00
540,164,4664,62,78,2025-02-23 17:15:00
541,200,4581,64,99,2025-09-02 11:43:00
542,166,4672,66,143,2025-07-14 12:56:00
543,122,5097,63,173,2024-12-25 10:48:00
544,18,4828,68,161,2024-01-25 19:34:00
545,94,5093,67,63,2026-01-11 22:46:00
546,173,4541,70,172,2025-03-05 21:15:00
547,42,4689,69,123,2024-01-25 22:20:00
548,86,4961,62,161,2024-05-06 13:45:00
549,183,4682,67,40,2025-01-25 11:15:00
550,193,4795,68,66,2024-03-06 07:27:00
551,114,4695,63,53,2025-09-19 17:56:00
552,128,4869,70,85,2025-04-16 07:51:00
553,145,4952,68,169,2024-07-16 11:59:00
554,8,4674,61,111,2024-07-12 11:02:00
555,98,4820,68,146,2025-12-15 09:33:00
556,139,4764,65,161,2025-01-12 10:56:00
557,48,4601,68,40,2024-03-31 17:43:00
558,74,4383,70,55,2025-07-21 13:17:00
559,114,5018,65,64,2025-03-01 22:46:00
560,43,5019,70,71,2024-08-27 21:39:00
561,128,4997,65,109,2024-12-28 08:26:00
562,76,5075,66,169,2025-08-26 06:34:00
563,194,4910,65,50,2025-11-30 21:27:00
564,15,4531,62,161,2025-02-08 19:29:00
565,36,4734,70,110,2025-04-14 12:51:00
566,159,5104,62,47,2024-08-09 06:11:00
567,41,5083,67,100,2024-12-28 09:24:00
568,93,4632,64,31,2025-12-31 21:45:00
569,60,4895,66,156,2025-12-30 08:28:00
570,155,4634,66,45,2025-09-11 16:55:00
571,81,4835,64,174,2025-05-01 12:46:00
572,17,4522,67,47,2025-06-02 06:49:00
573,72,5071,67,173,2024-04-11 06:21:00
574,34,5087,66,60,2026-01-15 10:42:00
575,188,4548,61,101,2024-01-29 20:34:00
576,24,4488,61,110,2024-04-10 19:35:00
577,50,4383,69,43,2024-04-18 13:18:00
578,168,4661,68,172,2025-09-08 22:11:00
579,113,5028,69,79,2024-01-30 20:18:00
580,156,4809,69,132,2025-03-06 15:07:00
