id,dzien,miesiac,rok,data_pelna,dzien_tygodnia,kwartal
4448,25,3,2024,2024-03-25,Monday,1
4449,26,3,2024,2024-03-26,Tuesday,1
4450,27,3,2024,2024-03-27,Wednesday,1
4451,28,3,2024,2024-03-28,Thursday,1
4452,29,3,2024,2024-03-29,Friday,1
4453,30,3,2024,2024-03-30,Saturday,1
4454,31,3,2024,2024-03-31,Sunday,1
4455,1,4,2024,2024-04-01,Monday,2
4456,2,4,2024,2024-04-02,Tuesday,2
4457,3,4,2024,2024-04-03,Wednesday,2
4458,4,4,2024,2024-04-04,Thursday,2
4459,5,4,2024,2024-04-05,Friday,2
4460,6,4,2024,2024-04-06,Saturday,2
4461,7,4,2024,2024-04-07,Sunday,2
4462,8,4,2024,2024-04-08,Monday,2
4463,9,4,2024,2024-04-09,Tuesday,2
4464,10,4,2024,2024-04-10,Wednesday,2
4465,11,4,2024,2024-04-11,Thursday,2
4466,12,4,2024,2024-04-12,Friday,2
4467,13,4,2024,2024-04-13,Saturday,2
4468,14,4,2024,2024-04-14,Sunday,2
4469,15,4,2024,2024-04-15,Monday,2
4470,16,4,2024,2024-04-16,Tuesday,2
4471,17,4,2024,2024-04-17,Wednesday,2
4472,18,4,2024,2024-04-18,Thursday,2
4473,19,4,2024,2024-04-19,Friday,2
4474,20,4,2024,2024-04-20,Saturday,2
4475,21,4,2024,2024-04-21,Sunday,2
4476,22,4,2024,2024-04-22,Monday,2
4477,23,4,2024,2024-04-23,Tuesday,2
4478,24,4,2024,2024-04-24,Wednesday,2
4479,25,4,2024,2024-04-25,Thursday,2
4480,26,4,2024,2024-04-26,Friday,2
4481,27,4,2024,2024-04-27,Saturday,2
4482,28,4,2024,2024-04-28,Sunday,2
4483,29,4,2024,2024-04-29,Monday,2
4484,30,4,2024,2024-04-30,Tuesday,2
4485,1,5,2024,2024-05-01,Wednesday,2
4486,2,5,2024,2024-05-02,Thursday,2
4487,3,5,2024,2024-05-03,Friday,2
4488,4,5,2024,2024-05-04,Saturday,2
4489,5,5,2024,2024-05-05,Sunday,2
4490,6,5,2024,2024-05-06,Monday,2
4491,7,5,2024,2024-05-07,Tuesday,2
4492,8,5,2024,2024-05-08,Wednesday,2
4493,9,5,2024,2024-05-09,Thursday,2
4494,10,5,2024,2024-05-10,Friday,2
4495,11,5,2024,2024-05-11,Saturday,2
4496,12,5,2024,2024-05-12,Sunday,2
4497,13,5,2024,2024-05-13,Monday,2
4498,14,5,2024,2024-05-14,Tuesday,2
4499,15,5,2024,2024-05-15,Wednesday,2
4500,16,5,2024,2024-05-16,Thursday,2
4501,17,5,2024,2024-05-17,Friday,2
4502,18,5,2024,2024-05-18,Saturday,2
4503,19,5,2024,2024-05-19,Sunday,2
4504,20,5,2024,2024-05-20,Monday,2
4505,21,5,2024,2024-05-21,Tuesday,2
4506,22,5,2024,2024-05-22,Wednesday,2
4507,23,5,2024,2024-05-23,Thursday,2
4508,24,5,2024,2024-05-24,Friday,2
4509,25,5,2024,2024-05-25,Saturday,2
4510,26,5,2024,2024-05-26,Sunday,2
4511,27,5,2024,2024-05-27,Monday,2
4512,28,5,2024,2024-05-28,Tuesday,2
4513,29,5,2024,2024-05-29,Wednesday,2
4514,30,5,2024,2024-05-30,Thursday,2
4515,31,5,2024,2024-05-31,Friday,2
4516,1,6,2024,2024-06-01,Saturday,2
4517,2,6,2024,2024-06-02,Sunday,2
4518,3,6,2024,2024-06-03,Monday,2
4519,4,6,2024,2024-06-04,Tuesday,2
4520,5,6,2024,2024-06-05,Wednesday,2
4521,6,6,2024,2024-06-06,Thursday,2
4522,7,6,2024,2024-06-07,Friday,2
4523,8,6,2024,2024-06-08,Saturday,2
4524,9,6,2024,2024-06-09,Sunday,2
4525,10,6,2024,2024-06-10,Monday,2
4526,11,6,2024,2024-06-11,Tuesday,2
4527,12,6,2024,2024-06-12,Wednesday,2
4528,13,6,2024,2024-06-13,Thursday,2
4529,14,6,2024,2024-06-14,Friday,2
4530,15,6,2024,2024-06-15,Saturday,2
4531,16,6,2024,2024-06-16,Sunday,2
4532,17,6,2024,2024-06-17,Monday,2
4533,18,6,2024,2024-06-18,Tuesday,2
4534,19,6,2024,2024-06-19,Wednesday,2
4535,20,6,2024,2024-06-20,Thursday,2
4536,21,6,2024,2024-06-21,Friday,2
4537,22,6,2024,2024-06-22,Saturday,2
4538,23,6,2024,2024-06-23,Sunday,2
4539,24,6,2024,2024-06-24,Monday,2
4540,25,6,2024,2024-06-25,Tuesday,2
4541,26,6,2024,2024-06-26,Wednesday,2
4542,27,6,2024,2024-06-27,Thursday,2
4543,28,6,2024,2024-06-28,Friday,2
4544,29,6,2024,2024-06-29,Saturday,2
4545,30,6,2024,2024-06-30,Sunday,2
4546,1,7,2024,2024-07-01,Monday,3
4547,2,7,2024,2024-07-02,Tuesday,3
4548,3,7,2024,2024-07-03,Wednesday,3
4549,4,7,2024,2024-07-04,Thursday,3
4550,5,7,2024,2024-07-05,Friday,3
4551,6,7,2024,2024-07-06,Saturday,3
4552,7,7,2024,2024-07-07,Sunday,3
4553,8,7,2024,2024-07-08,Monday,3
4554,9,7,2024,2024-07-09,Tuesday,3
4555,10,7,2024,2024-07-10,Wednesday,3
4556,11,7,2024,2024-07-11,Thursday,3
4557,12,7,2024,2024-07-12,Friday,3
4558,13,7,2024,2024-07-13,Saturday,3
4559,14,7,2024,2024-07-14,Sunday,3
4560,15,7,2024,2024-07-15,Monday,3
4561,16,7,2024,2024-07-16,Tuesday,3
4562,17,7,2024,2024-07-17,Wednesday,3
4563,18,7,2024,2024-07-18,Thursday,3
4564,19,7,2024,2024-07-19,Friday,3
4565,20,7,2024,2024-07-20,Saturday,3
4566,21,7,2024,2024-07-21,Sunday,3
4567,22,7,2024,2024-07-22,Monday,3
4568,23,7,2024,2024-07-23,Tuesday,3
4569,24,7,2024,2024-07-24,Wednesday,3
4570,25,7,2024,2024-07-25,Thursday,3
4571,26,7,2024,2024-07-26,Friday,3
4572,27,7,2024,2024-07-27,Saturday,3
4573,28,7,2024,2024-07-28,Sunday,3
4574,29,7,2024,2024-07-29,Monday,3
4575,30,7,2024,2024-07-30,Tuesday,3
4576,31,7,2024,2024-07-31,Wednesday,3
4577,1,8,2024,2024-08-01,Thursday,3
4578,2,8,2024,2024-08-02,Friday,3
4579,3,8,2024,2024-08-03,Saturday,3
4580,4,8,2024,2024-08-04,Sunday,3
4581,5,8,2024,2024-08-05,Monday,3
4582,6,8,2024,2024-08-06,Tuesday,3
4583,7,8,2024,2024-08-07,Wednesday,3
4584,8,8,2024,2024-08-08,Thursday,3
4585,9,8,2024,2024-08-09,Friday,3
4586,10,8,2024,2024-08-10,Saturday,3
4587,11,8,2024,2024-08-11,Sunday,3
4588,12,8,2024,2024-08-12,Monday,3
4589,13,8,2024,2024-08-13,Tuesday,3
4590,14,8,2024,2024-08-14,Wednesday,3
4591,15,8,2024,2024-08-15,Thursday,3
4592,16,8,2024,2024-08-16,Friday,3
4593,17,8,2024,2024-08-17,Saturday,3
4594,18,8,2024,2024-08-18,Sunday,3
4595,19,8,2024,2024-08-19,Monday,3
4596,20,8,2024,2024-08-20,Tuesday,3
4597,21,8,2024,2024-08-21,Wednesday,3
4598,22,8,2024,2024-08-22,Thursday,3
4599,23,8,2024,2024-08-23,Friday,3
4600,24,8,2024,2024-08-24,Saturday,3
4601,25,8,2024,2024-08-25,Sunday,3
4602,26,8,2024,2024-08-26,Monday,3
4603,27,8,2024,2024-08-27,Tuesday,3
4604,28,8,2024,2024-08-28,Wednesday,3
4605,29,8,2024,2024-08-29,Thursday,3
4606,30,8,2024,2024-08-30,Friday,3
4607,31,8,2024,2024-08-31,Saturday,3
4608,1,9,2024,2024-09-01,Sunday,3
4609,2,9,2024,2024-09-02,Monday,3
4610,3,9,2024,2024-09-03,Tuesday,3
4611,4,9,2024,2024-09-04,Wednesday,3
4612,5,9,2024,2024-09-05,Thursday,3
4613,6,9,2024,2024-09-06,Friday,3
4614,7,9,2024,2024-09-07,Saturday,3
4615,8,9,2024,2024-09-08,Sunday,3
4616,9,9,2024,2024-09-09,Monday,3
4617,10,9,2024,2024-09-10,Tuesday,3
4618,11,9,2024,2024-09-11,Wednesday,3
4619,12,9,2024,2024-09-12,Thursday,3
4620,13,9,2024,2024-09-13,Friday,3
4621,14,9,2024,2024-09-14,Saturday,3
4622,15,9,2024,2024-09-15,Sunday,3
4623,16,9,2024,2024-09-16,Monday,3
4624,17,9,2024,2024-09-17,Tuesday,3
4625,18,9,2024,2024-09-18,Wednesday,3
4626,19,9,2024,2024-09-19,Thursday,3
4627,20,9,2024,2024-09-20,Friday,3
4628,21,9,2024,2024-09-21,Saturday,3
4629,22,9,2024,2024-09-22,Sunday,3
4630,23,9,2024,2024-09-23,Monday,3
4631,24,9,2024,2024-09-24,Tuesday,3
4632,25,9,2024,2024-09-25,Wednesday,3
4633,26,9,2024,2024-09-26,Thursday,3
4634,27,9,2024,2024-09-27,Friday,3
4635,28,9,2024,2024-09-28,Saturday,3
4636,29,9,2024,2024-09-29,Sunday,3
4637,30,9,2024,2024-09-30,Monday,3
4638,1,10,2024,2024-10-01,Tuesday,4
4639,2,10,2024,2024-10-02,Wednesday,4
4640,3,10,2024,2024-10-03,Thursday,4
4641,4,10,2024,2024-10-04,Friday,4
4642,5,10,2024,2024-10-05,Saturday,4
4643,6,10,2024,2024-10-06,Sunday,4
4644,7,10,2024,2024-10-07,Monday,4
4645,8,10,2024,2024-10-08,Tuesday,4
4646,9,10,2024,2024-10-09,Wednesday,4
4647,10,10,2024,2024-10-10,Thursday,4
4648,11,10,2024,2024-10-11,Friday,4
4649,12,10,2024,2024-10-12,Saturday,4
4650,13,10,2024,2024-10-13,Sunday,4
4651,14,10,2024,2024-10-14,Monday,4
4652,15,10,2024,2024-10-15,Tuesday,4
4653,16,10,2024,2024-10-16,Wednesday,4
4654,17,10,2024,2024-10-17,Thursday,4
4655,18,10,2024,2024-10-18,Friday,4
4656,19,10,2024,2024-10-19,Saturday,4
4657,20,10,2024,2024-10-20,Sunday,4
4658,21,10,2024,2024-10-21,Monday,4
4659,22,10,2024,2024-10-22,Tuesday,4
4660,23,10,2024,2024-10-23,Wednesday,4
4661,24,10,2024,2024-10-24,Thursday,4
4662,25,10,2024,2024-10-25,Friday,4
4663,26,10,2024,2024-10-26,Saturday,4
4664,27,10,2024,2024-10-27,Sunday,4
4665,28,10,2024,2024-10-28,Monday,4
4666,29,10,2024,2024-10-29,Tuesday,4
4667,30,10,2024,2024-10-30,Wednesday,4
4668,31,10,2024,2024-10-31,Thursday,4
4669,1,11,2024,2024-11-01,Friday,4
4670,2,11,2024,2024-11-02,Saturday,4
4671,3,11,2024,2024-11-03,Sunday,4
4672,4,11,2024,2024-11-04,Monday,4
4673,5,11,2024,2024-11-05,Tuesday,4
4674,6,11,2024,2024-11-06,Wednesday,4
4675,7,11,2024,2024-11-07,Thursday,4
4676,8,11,2024,2024-11-08,Friday,4
4677,9,11,2024,2024-11-09,Saturday,4
4678,10,11,2024,2024-11-10,Sunday,4
4679,11,11,2024,2024-11-11,Monday,4
4680,12,11,2024,2024-11-12,Tuesday,4
4681,13,11,2024,2024-11-13,Wednesday,4
4682,14,11,2024,2024-11-14,Thursday,4
4683,15,11,2024,2024-11-15,Friday,4
4684,16,11,2024,2024-11-16,Saturday,4
4685,17,11,2024,2024-11-17,Sunday,4
4686,18,11,2024,2024-11-18,Monday,4
4687,19,11,2024,2024-11-19,Tuesday,4
4688,20,11,2024,2024-11-20,Wednesday,4
4689,21,11,2024,2024-11-21,Thursday,4
4690,22,11,2024,2024-11-22,Friday,4
4691,23,11,2024,2024-11-23,Saturday,4
4692,24,11,2024,2024-11-24,Sunday,4
4693,25,11,2024,2024-11-25,Monday,4
4694,26,11,2024,2024-11-26,Tuesday,4
4695,27,11,2024,2024-11-27,Wednesday,4
4696,28,11,2024,2024-11-28,Thursday,4
4697,29,11,2024,2024-11-29,Friday,4
4698,30,11,2024,2024-11-30,Saturday,4
4699,1,12,2024,2024-12-01,Sunday,4
4700,2,12,2024,2024-12-02,Monday,4
4701,3,12,2024,2024-12-03,Tuesday,4
4702,4,12,2024,2024-12-04,Wednesday,4
4703,5,12,2024,2024-12-05,Thursday,4
4704,6,12,2024,2024-12-06,Friday,4
4705,7,12,2024,2024-12-07,Saturday,4
4706,8,12,2024,2024-12-08,Sunday,4
4707,9,12,2024,2024-12-09,Monday,4
4708,10,12,2024,2024-12-10,Tuesday,4
4709,11,12,2024,2024-12-11,Wednesday,4
4710,12,12,2024,2024-12-12,Thursday,4
4711,13,12,2024,2024-12-13,Friday,4
4712,14,12,2024,2024-12-14,Saturday,4
4713,15,12,2024,2024-12-15,Sunday,4
4714,16,12,2024,2024-12-16,Monday,4
4715,17,12,2024,2024-12-17,Tuesday,4
4716,18,12,2024,2024-12-18,Wednesday,4
4717,19,12,2024,2024-12-19,Thursday,4
4718,20,12,2024,2024-12-20,Friday,4
4719,21,12,2024,2024-12-21,Saturday,4
4720,22,12,2024,2024-12-22,Sunday,4
4721,23,12,2024,2024-12-23,Monday,4
4722,24,12,2024,2024-12-24,Tuesday,4
4723,25,12,2024,2024-12-25,Wednesday,4
4724,26,12,2024,2024-12-26,Thursday,4
4725,27,12,2024,2024-12-27,Friday,4
4726,28,12,2024,2024-12-28,Saturday,4
4727,29,12,2024,2024-12-29,Sunday,4
4728,30,12,2024,2024-12-30,Monday,4
4729,31,12,2024,2024-12-31,Tuesday,4
4730,1,1,2025,2025-01-01,Wednesday,1
4731,2,1,2025,2025-01-02,Thursday,1
4732,3,1,2025,2025-01-03,Friday,1
4733,4,1,2025,2025-01-04,Saturday,1
4734,5,1,2025,2025-01-05,Sunday,1
4735,6,1,2025,2025-01-06,Monday,1
4736,7,1,2025,2025-01-07,Tuesday,1
4737,8,1,2025,2025-01-08,Wednesday,1
4738,9,1,2025,2025-01-09,Thursday,1
4739,10,1,2025,2025-01-10,Friday,1
4740,11,1,2025,2025-01-11,Saturday,1
4741,12,1,2025,2025-01-12,Sunday,1
4742,13,1,2025,2025-01-13,Monday,1
4743,14,1,2025,2025-01-14,Tuesday,1
4744,15,1,2025,2025-01-15,Wednesday,1
4745,16,1,2025,2025-01-16,Thursday,1
4746,17,1,2025,2025-01-17,Friday,1
4747,18,1,2025,2025-01-18,Saturday,1
4748,19,1,2025,2025-01-19,Sunday,1
4749,20,1,2025,2025-01-20,Monday,1
4750,21,1,2025,2025-01-21,Tuesday,1
4751,22,1,2025,2025-01-22,Wednesday,1
4752,23,1,2025,2025-01-23,Thursday,1
4753,24,1,2025,2025-01-24,Friday,1
4754,25,1,2025,2025-01-25,Saturday,1
4755,26,1,2025,2025-01-26,Sunday,1
4756,27,1,2025,2025-01-27,Monday,1
4757,28,1,2025,2025-01-28,Tuesday,1
4758,29,1,2025,2025-01-29,Wednesday,1
4759,30,1,2025,2025-01-30,Thursday,1
4760,31,1,2025,2025-01-31,Friday,1
4761,1,2,2025,2025-02-01,Saturday,1
4762,2,2,2025,2025-02-02,Sunday,1
4763,3,2,2025,2025-02-03,Monday,1
4764,4,2,2025,2025-02-04,Tuesday,1
4765,5,2,2025,2025-02-05,Wednesday,1
4766,6,2,2025,2025-02-06,Thursday,1
4767,7,2,2025,2025-02-07,Friday,1
4768,8,2,2025,2025-02-08,Saturday,1
4769,9,2,2025,2025-02-09,Sunday,1
4770,10,2,2025,2025-02-10,Monday,1
4771,11,2,2025,2025-02-11,Tuesday,1
4772,12,2,2025,2025-02-12,Wednesday,1
4773,13,2,2025,2025-02-13,Thursday,1
4774,14,2,2025,2025-02-14,Friday,1
4775,15,2,2025,2025-02-15,Saturday,1
4776,16,2,2025,2025-02-16,Sunday,1
4777,17,2,2025,2025-02-17,Monday,1
4778,18,2,2025,2025-02-18,Tuesday,1
4779,19,2,2025,2025-02-19,Wednesday,1
4780,20,2,2025,2025-02-20,Thursday,1
4781,21,2,2025,2025-02-21,Friday,1
4782,22,2,2025,2025-02-22,Saturday,1
4783,23,2,2025,2025-02-23,Sunday,1
4784,24,2,2025,2025-02-24,Monday,1
4785,25,2,2025,2025-02-25,Tuesday,1
4786,26,2,2025,2025-02-26,Wednesday,1
4787,27,2,2025,2025-02-27,Thursday,1
4788,28,2,2025,2025-02-28,Friday,1
4789,1,3,2025,2025-03-01,Saturday,1
4790,2,3,2025,2025-03-02,Sunday,1
4791,3,3,2025,2025-03-03,Monday,1
4792,4,3,2025,2025-03-04,Tuesday,1
4793,5,3,2025,2025-03-05,Wednesday,1
4794,6,3,2025,2025-03-06,Thursday,1
4795,7,3,2025,2025-03-07,Friday,1
4796,8,3,2025,2025-03-08,Saturday,1
4797,9,3,2025,2025-03-09,Sunday,1
4798,10,3,2025,2025-03-10,Monday,1
4799,11,3,2025,2025-03-11,Tuesday,1
4800,12,3,2025,2025-03-12,Wednesday,1
4801,13,3,2025,2025-03-13,Thursday,1
4802,14,3,2025,2025-03-14,Friday,1
4803,15,3,2025,2025-03-15,Saturday,1
4804,16,3,2025,2025-03-16,Sunday,1
4805,17,3,2025,2025-03-17,Monday,1
4806,18,3,2025,2025-03-18,Tuesday,1
4807,19,3,2025,2025-03-19,Wednesday,1
4808,20,3,2025,2025-03-20,Thursday,1
4809,21,3,2025,2025-03-21,Friday,1
4810,22,3,2025,2025-03-22,Saturday,1
4811,23,3,2025,2025-03-23,Sunday,1
4812,24,3,2025,2025-03-24,Monday,1
4813,25,3,2025,2025-03-25,Tuesday,1
4814,26,3,2025,2025-03-26,Wednesday,1
4815,27,3,2025,2025-03-27,Thursday,1
4816,28,3,2025,2025-03-28,Friday,1
4817,29,3,2025,2025-03-29,Saturday,1
4818,30,3,2025,2025-03-30,Sunday,1
4819,31,3,2025,2025-03-31,Monday,1
4820,1,4,2025,2025-04-01,Tuesday,2
4821,2,4,2025,2025-04-02,Wednesday,2
4822,3,4,2025,2025-04-03,Thursday,2
4823,4,4,2025,2025-04-04,Friday,2
4824,5,4,2025,2025-04-05,Saturday,2
4825,6,4,2025,2025-04-06,Sunday,2
4826,7,4,2025,2025-04-07,Monday,2
4827,8,4,2025,2025-04-08,Tuesday,2
4828,9,4,2025,2025-04-09,Wednesday,2
4829,10,4,2025,2025-04-10,Thursday,2
4830,11,4,2025,2025-04-11,Friday,2
4831,12,4,2025,2025-04-12,Saturday,2
4832,13,4,2025,2025-04-13,Sunday,2
4833,14,4,2025,2025-04-14,Monday,2
4834,15,4,2025,2025-04-15,Tuesday,2
4835,16,4,2025,2025-04-16,Wednesday,2
4836,17,4,2025,2025-04-17,Thursday,2
4837,18,4,2025,2025-04-18,Friday,2
4838,19,4,2025,2025-04-19,Saturday,2
4839,20,4,2025,2025-04-20,Sunday,2
4840,21,4,2025,2025-04-21,Monday,2
4841,22,4,2025,2025-04-22,Tuesday,2
4842,23,4,2025,2025-04-23,Wednesday,2
4843,24,4,2025,2025-04-24,Thursday,2
4844,25,4,2025,2025-04-25,Friday,2
4845,26,4,2025,2025-04-26,Saturday,2
4846,27,4,2025,2025-04-27,Sunday,2
4847,28,4,2025,2025-04-28,Monday,2
4848,29,4,2025,2025-04-29,Tuesday,2
4849,30,4,2025,2025-04-30,Wednesday,2
4850,1,5,2025,2025-05-01,Thursday,2
4851,2,5,2025,2025-05-02,Friday,2
4852,3,5,2025,2025-05-03,Saturday,2
4853,4,5,2025,2025-05-04,Sunday,2
4854,5,5,2025,2025-05-05,Monday,2
4855,6,5,2025,2025-05-06,Tuesday,2
4856,7,5,2025,2025-05-07,Wednesday,2
4857,8,5,2025,2025-05-08,Thursday,2
4858,9,5,2025,2025-05-09,Friday,2
4859,10,5,2025,2025-05-10,Saturday,2
4860,11,5,2025,2025-05-11,Sunday,2
4861,12,5,2025,2025-05-12,Monday,2
4862,13,5,2025,2025-05-13,Tuesday,2
4863,14,5,2025,2025-05-14,Wednesday,2
4864,15,5,2025,2025-05-15,Thursday,2
4865,16,5,2025,2025-05-16,Friday,2
4866,17,5,2025,2025-05-17,Saturday,2
4867,18,5,2025,2025-05-18,Sunday,2
4868,19,5,2025,2025-05-19,Monday,2
4869,20,5,2025,2025-05-20,Tuesday,2
4870,21,5,2025,2025-05-21,Wednesday,2
4871,22,5,2025,2025-05-22,Thursday,2
4872,23,5,2025,2025-05-23,Friday,2
4873,24,5,2025,2025-05-24,Saturday,2
4874,25,5,2025,2025-05-25,Sunday,2
4875,26,5,2025,2025-05-26,Monday,2
4876,27,5,2025,2025-05-27,Tuesday,2
4877,28,5,2025,2025-05-28,Wednesday,2
4878,29,5,2025,2025-05-29,Thursday,2
4879,30,5,2025,2025-05-30,Friday,2
4880,31,5,2025,2025-05-31,Saturday,2
4881,1,6,2025,2025-06-01,Sunday,2
4882,2,6,2025,2025-06-02,Monday,2
4883,3,6,2025,2025-06-03,Tuesday,2
4884,4,6,2025,2025-06-04,Wednesday,2
4885,5,6,2025,2025-06-05,Thursday,2
4886,6,6,2025,2025-06-06,Friday,2
4887,7,6,2025,2025-06-07,Saturday,2
4888,8,6,2025,2025-06-08,Sunday,2
4889,9,6,2025,2025-06-09,Monday,2
4890,10,6,2025,2025-06-10,Tuesday,2
4891,11,6,2025,2025-06-11,Wednesday,2
4892,12,6,2025,2025-06-12,Thursday,2
4893,13,6,2025,2025-06-13,Friday,2
4894,14,6,2025,2025-06-14,Saturday,2
4895,15,6,2025,2025-06-15,Sunday,2
4896,16,6,2025,2025-06-16,Monday,2
4897,17,6,2025,2025-06-17,Tuesday,2
4898,18,6,2025,2025-06-18,Wednesday,2
4899,19,6,2025,2025-06-19,Thursday,2
4900,20,6,2025,2025-06-20,Friday,2
4901,21,6,2025,2025-06-21,Saturday,2
4902,22,6,2025,2025-06-22,Sunday,2
4903,23,6,2025,2025-06-23,Monday,2
4904,24,6,2025,2025-06-24,Tuesday,2
4905,25,6,2025,2025-06-25,Wednesday,2
4906,26,6,2025,2025-06-26,Thursday,2
4907,27,6,2025,2025-06-27,Friday,2
4908,28,6,2025,2025-06-28,Saturday,2
4909,29,6,2025,2025-06-29,Sunday,2
4910,30,6,2025,2025-06-30,Monday,2
4911,1,7,2025,2025-07-01,Tuesday,3
4912,2,7,2025,2025-07-02,Wednesday,3
4913,3,7,2025,2025-07-03,Thursday,3
4914,4,7,2025,2025-07-04,Friday,3
4915,5,7,2025,2025-07-05,Saturday,3
4916,6,7,2025,2025-07-06,Sunday,3
4917,7,7,2025,2025-07-07,Monday,3
4918,8,7,2025,2025-07-08,Tuesday,3
4919,9,7,2025,2025-07-09,Wednesday,3
4920,10,7,2025,2025-07-10,Thursday,3
4921,11,7,2025,2025-07-11,Friday,3
4922,12,7,2025,2025-07-12,Saturday,3
4923,13,7,2025,2025-07-13,Sunday,3
4924,14,7,2025,2025-07-14,Monday,3
4925,15,7,2025,2025-07-15,Tuesday,3
4926,16,7,2025,2025-07-16,Wednesday,3
4927,17,7,2025,2025-07-17,Thursday,3
4928,18,7,2025,2025-07-18,Friday,3
4929,19,7,2025,2025-07-19,Saturday,3
4930,20,7,2025,2025-07-20,Sunday,3
4931,21,7,2025,2025-07-21,Monday,3
4932,22,7,2025,2025-07-22,Tuesday,3
4933,23,7,2025,2025-07-23,Wednesday,3
4934,24,7,2025,2025-07-24,Thursday,3
4935,25,7,2025,2025-07-25,Friday,3
4936,26,7,2025,2025-07-26,Saturday,3
4937,27,7,2025,2025-07-27,Sunday,3
4938,28,7,2025,2025-07-28,Monday,3
4939,29,7,2025,2025-07-29,Tuesday,3
4940,30,7,2025,2025-07-30,Wednesday,3
4941,31,7,2025,2025-07-31,Thursday,3
4942,1,8,2025,2025-08-01,Friday,3
4943,2,8,2025,2025-08-02,Saturday,3
4944,3,8,2025,2025-08-03,Sunday,3
4945,4,8,2025,2025-08-04,Monday,3
4946,5,8,2025,2025-08-05,Tuesday,3
4947,6,8,2025,2025-08-06,Wednesday,3
4948,7,8,2025,2025-08-07,Thursday,3
4949,8,8,2025,2025-08-08,Friday,3
4950,9,8,2025,2025-08-09,Saturday,3
4951,10,8,2025,2025-08-10,Sunday,3
4952,11,8,2025,2025-08-11,Monday,3
4953,12,8,2025,2025-08-12,Tuesday,3
4954,13,8,2025,2025-08-13,Wednesday,3
4955,14,8,2025,2025-08-14,Thursday,3
4956,15,8,2025,2025-08-15,Friday,3
4957,16,8,2025,2025-08-16,Saturday,3
4958,17,8,2025,2025-08-17,Sunday,3
4959,18,8,2025,2025-08-18,Monday,3
4960,19,8,2025,2025-08-19,Tuesday,3
